=== 轨迹验收矩阵: 4416 条路径 (23 距离 × 8 方向 × 24 次) ===
  距离   失败/路径   弧/弦          段侧偏   峰/均        峰值时刻     时长/Fitts   最大单步
     10    0/192     1.049-1.263    0.189    1.51-2.39     0.41-1.00     0.80-1.25     317px/s
     25    0/192     1.012-1.095    0.146    1.69-1.90     0.44-0.59     0.80-1.25     328px/s
     50    0/192     1.006-1.058    0.138    1.74-1.87     0.45-0.59     0.81-1.25     534px/s
     75    0/192     1.010-1.065    0.135    2.49-3.24     0.23-0.31     0.80-1.25     1219px/s
    100    0/192     1.005-1.050    0.129    2.51-3.22     0.24-0.29     0.80-1.25     1471px/s
    150    0/192     1.004-1.047    0.128    2.57-3.28     0.24-0.29     0.81-1.25     1790px/s
    200    0/192     1.004-1.040    0.126    2.57-3.27     0.24-0.29     0.80-1.25     2248px/s
    250    0/192     1.002-1.044    0.133    2.61-3.29     0.24-0.28     0.80-1.25     2625px/s
    300    0/192     1.003-1.041    0.128    2.60-3.35     0.24-0.28     0.80-1.25     2921px/s
    350    0/192     1.002-1.039    0.133    2.60-3.33     0.24-0.28     0.80-1.25     3288px/s
    400    0/192     1.002-1.040    0.127    2.61-3.33     0.24-0.28     0.80-1.25     3614px/s
    450    0/192     1.003-1.037    0.134    2.03-3.34     0.24-0.28     0.81-1.25     3981px/s
    500    0/192     1.003-1.038    0.137    2.04-3.30     0.24-0.28     0.80-1.25     4246px/s
    600    0/192     1.002-1.034    0.129    2.01-3.32     0.24-0.28     0.80-1.25     4671px/s
    700    0/192     1.002-1.032    0.128    2.03-3.34     0.24-0.27     0.80-1.25     5079px/s
    800    0/192     1.002-1.039    0.144    1.99-3.33     0.23-0.27     0.81-1.25     5876px/s
   1000    0/192     1.002-1.035    0.135    2.01-3.30     0.24-0.27     0.80-1.25     6802px/s
   1200    0/192     1.002-1.039    0.123    2.01-3.36     0.24-0.27     0.80-1.25     7765px/s
   1400    0/192     1.001-1.032    0.130    2.04-3.34     0.23-0.27     0.80-1.25     8285px/s
   1600    0/192     1.002-1.030    0.140    2.04-3.31     0.24-0.27     0.80-1.25     9492px/s
   1800    0/192     1.001-1.029    0.130    2.00-3.32     0.24-0.27     0.80-1.25     10717px/s
   2000    0/192     1.001-1.032    0.138    2.06-3.36     0.25-0.27     0.80-1.25     11079px/s
   2200    0/192     1.001-1.026    0.128    2.05-3.35     0.24-0.27     0.80-1.25     12154px/s
  结论: PASS (0/4416 条路径失败)
报告已写入 docs/trajlab-report-v1.2.3.json
